Text,Label
Bay Area,1
Greater Toronto Area,1
Manhattan,1
Silicon Valley,1
Chicago,1   
Seattle,1
Los Angeles,1
Dallas-Fort Worth,1
San Francisco,1
Austin,1
Boston,1
Miami,1
London,1
Berlin,1
New York City,1
Tokyo,1
Sydney,1
Vancouver,1
Houston,1
Atlanta,1
Phoenix,1
Denver,1
San Diego,1
Minneapolis-St. Paul,1
Philadelphia,1
Unicornville,0
Atlantis,0
Fake City,0
Narnia,0
Middle of Nowhere,0
Qwerty Town,0
Imaginaryland,0
Gotham City,0
Blahville,0
Fictional Valley,0
Madeup City,0
Mars Colony,0
Pluto,0
Westeros,0
Mordor,0
Jobless Place,0
NoWorkTown,0
Blurgh,0
XYZ Zone,0
Nowhereville,0
Space Station Vega,0
Neverland,0
Land of Oz,0
Utopia,0
